PGENDATEL|PGen|EMU|EMU_PGEN|Datel|pgen_datel.elf
PGENDATELU|PGen|EMU|EMU_PGEN|Datel|pgen_datel-u.elf
VTSPS2HBDL|HomeBrew DownLoader|APP|APP_HBDL|github.com/VTSTech|VTSPS2-HBDL.elf
VTSPS2CRC32|VTSPS2-CRC32|APP|APP_VTSPS2CR|github.com/VTSTech|VTSPS2-CRC32-packed.ELF
PSXLAUNCHER|PSX Launcher|PS1|PS1_PSXLAUNC|vegito_93|PSXLAUNCHER.ELF
CLASSICUBEPS2|ClassiCube|GME|GME_CLASSICU|classicube.net|ClassiCube-ps2.elf
MECHAPWN|MechaPwn|DST|DST_MECHAPWN|github.com/MechaResearch|MechaPwn.elf
R0004|SOCOM II Online R0004 Update|GME|GME_SOCOMII|psrewired.com|r0004v002.elf
JUMPBUMP|Jump 'n Bump|GME|GME_JUMPBUMP|Gil Megidish|JUMPBUMP.ELF
CBV10|Code Breaker|APP|APP_CODEBREA|Pelican Accessories|CBV.10.elf
CB10|Code Breaker|APP|APP_CODEBREA|Pelican Accessories|CB10.elf
CB92|Code Breaker|APP|APP_CODEBREA|Pelican Accessories|CB92.elf
CODEBREAKER10|Code Breaker|APP|APP_CODEBREA|Pelican Accessories|CODEBREAKER10.ELF
ULAUNCHELF|uLaunchELF|APP|APP_ULE|Eric Price (E P) & Ronald Andersson (dlanor)|uLaunchELF.elf
ULAUNCHELF|uLaunchELF|APP|APP_ULE|Eric Price (E P) & Ronald Andersson (dlanor)|WorkingULE.ELF
UNOFFICIALLAUNCHELF|uLaunchELF|APP|APP_ULE|Eric Price (E P) & Ronald Andersson (dlanor)|unofficial Launch ELF v4.40h.elf
ULEKHN|uLaunchELF|APP|APP_ULE|krHACKen|ULEKHN.ELF
ULE2TB|uLaunchELF|APP|APP_ULE|SP193|uLE - 2TB.elf
FLASHBCK|Flashback (REminiscence)|GME|GME_FLASHBCK|gawd|FLASHBCK.ELF
DAVEGNUKEM|Dave Gnunkem|GME|GME_DAVEGNUK|Drakonite|davegnukem.elf
SUPERTUX|SuperTux|GME|GME_SUPERTUX|github.com/headshot2017|supertux.elf
OPLNEUT|OPL Neutrino GUI|APP|APP_OPLNEUT|crt0|OPLNEUTV41.ELF
GPSPKAI|gpSP kai|EMU|EMU_GPSPKAI||gpsp_kai.elf
ATARI2600|PVCS Reloaded (Atari 2600)|EMU|EMU_PVCS|Bruno Freitas (bootsector)|Atari 2600.ELF
PVCSRELOADED|PVCS Reloaded (Atari 2600)|EMU|EMU_PVCS|Bruno Freitas (bootsector)|PVCS Reloaded v0.3.elf
PVCS13|PVCS (Atari 2600)|EMU|EMU_PVCS|Daniel Boris|PVCS13.ELF
PVCS|PVCS (Atari 2600)|EMU|EMU_PVCS|Daniel Boris|PVCS v1.3.elf
PS2ESDL|Playstation 2 External Storage Device Game Loader|APP|APP_PS2ESDL|sites.google.com/view/ysai187|PS2ESDL v0.825 OB.elf
PS2ESDL0825OB|Playstation 2 External Storage Device Game Loader|APP|APP_PS2ESDL|sites.google.com/view/ysai187|PS2ESDL_0825_OB.elf
PS2ESDL0821OB|Playstation 2 External Storage Device Game Loader|APP|APP_PS2ESDL|sites.google.com/view/ysai187|PS2ESDL_0821_OB.elf
DNASH4X0R|DNAS H4x0r|DST|DST_DNASH4X0|PS2NFO.COM|DNAS H4x0r.elf
GAMESHARK2|GameShark 2|APP|APP_GAMESHAR|GameShark|GAMESHARK2.ELF
SNESSTATION|SNES Station|EMU|EMU_SNESSTAT|pinguinoctis|SNES-Station v0.2.4.elf
SNESSTATIONMODHWC|SNES Station|EMU|EMU_SNESSTAT|Howling Wolf & Chelsea|SNES-Station-MOD-HWC.ELF
SNESEMU024S160906|SNES Station|EMU|EMU_SNESSTAT|ffgriever & Hiryu|snes_emu_024S160906.elf
SUPERNINTENDO|SNES Station|EMU|EMU_SNESSTAT|pinguinoctis|Super Nintendo.ELF
SNES026C|SNES Station|EMU|EMU_SNESSTAT|pinguinoctis|SNES026C.ELF
SNESEMU|SNES Station|EMU|EMU_SNESSTAT|pinguinoctis|snes_emu.elf
SNESEMUHDD|SNES Station|EMU|EMU_SNESSTAT|pinguinoctis|snes_emu_hdd.elf
SNESEMUHDD2|SNES Station|EMU|EMU_SNESSTAT|pinguinoctis|snes_emu_hdd2.elf
SNESEMU024S|SNES Station|EMU|EMU_SNESSTAT|pinguinoctis|SNESEMU024S.ELF
SNESTICLEREVIVE|SNESticle Revive|EMU|EMU_SNESREVI|github.com/ReyFxck|SNESticleRevive v1.0.5.elf
SNESTICLE|SNESticle Aurora|EMU|EMU_SNESAURO|github.com/itsveenee|SNESticle.elf
DVDPLAYERPR|DVD Player|APP|APP_DVDPLAYE||dvdplayer.elf
INFONES|InfoNES|EMU|EMU_INFONES|Ronald Andersson (AKA: dlanor)|InfoNES.elf
INFONESRE|InfoNES|EMU|EMU_INFONES|Ronald Andersson (AKA: dlanor)|InfoNES rev4.elf
INFONESHD|InfoNES|EMU|EMU_INFONES|Ronald Andersson (AKA: dlanor)|InfoNES-HD.elf
VECXPS2|VecX|EMU|EMU_VECX|Jum|VECXPS2.ELF
VECXFORPS2|VecX|EMU|EMU_VECX|Jum|VECXFORPS2.ELF
TGEMU|TGEmu|EMU|EMU_TGEMU|Charles MacDonald|tgemu v0.1.elf
PS2PSXE|PS2PSXe|PS1|PS1_PS2PSXE|ffgriever|ps2psxe.elf
BEEBEM|BEEBeM|EMU|EMU_BEEBEM|RUNTiME|BEEBEM v1.0b3.elf
MICROEMULATOR|BEEBeM|EMU|EMU_BEEBEM|RUNTiME|MicroEmulator.elf
NEOPOP|NeoPop|EMU|EMU_NEOPOP|evilo|neopop.elf
PS2TEMP|PS2Temps|DST|DST_PS2TEMPS|jolek and AKuHAK|PS2TEMP.ELF
PS2TEMPS|PS2Temps|DST|DST_PS2TEMPS|jolek and AKuHAK|PS2TEMPS.ELF
OSWANPS2|Wonder-Station|EMU|EMU_WONDERST|evilo|oswanps2.elf
WONDERSTATION|Wonder-Station|EMU|EMU_WONDERST|evilo|Wonder-Station v0.1.elf
ESRGUI|ESR GUI|APP|APP_ESR|ffgriever|ESR_GUI.elf
ESRLAUNCHER|ESR Launcher|APP|APP_ESRLAUNC|Howling Wolf & Chelsea|ESR-LAUNCHER.ELF
ESR|ESR|APP|APP_ESR||ESR.ELF
MFU|PS2 Memory Card Formatter|DST|DST_MFU|1UP & Based_Skid|MFU-Packed.elf
MASSMCFORMATTER|PS2 Memory Card Formatter|DST|DST_MFU|1UP & Based_Skid|MassMCFormatter.elf
MCFORMATTER|PS2 Memory Card Formatter|DST|DST_MFU|1UP & Based_Skid|mcFormatter.elf
TURBOGRAFX16|TurboGrafx-16|EMU|EMU_TURBOGRA|KaylaKaze|TurboGrafx 16.ELF
KHSKIP|Kingdom Hearts (Skip Mod)|GME|GME_KHSKIP|github.com/fniq5|khskip.elf
SWAPMAGIC38|Swap Magic 3 Plus|APP|APP_SWAPMAGI|Datel|SWAPMAGIC38.ELF
SMDVD38|Swap Magic 3 Plus|APP|APP_SWAPMAGI|Datel|SMDVD38.ELF
WOPNPS2LD|Double Unofficial Open PS2 Loader|APP|APP_WOPL|ps2homebrew.github.io|WOPNPS2LD.ELF 
RIPTOPL|RiptOPL|APP|APP_RIPTOPL|github.com/NathanNeurotic|RIPTOPL.ELF
RIPTOPLRA|RiptOPL|APP|APP_RIPTOPL|github.com/NathanNeurotic|RIPTOPL-RA.ELF
APOLLO|Apollo Save Tool|APP|APP_APOLLO|github.com/bucanero|APOLLO.ELF
ARGON|Argon XMB Media Player|APP|APP_ARGON|sourceforge.net/u/argonps2/profile/|ARGON.ELF
CHEATDEVICEFORWARDER|Cheat Device PS2BBL Forwarder|APP|APP_CHEATDEV|israpps.github.io|CHEATDEVICE-FORWARDER.ELF
CHEATDEVICE|Cheat Device|APP|APP_CHEATDEV|israpps.github.io|CHEATDEVICE.ELF
CHEATHDD|Cheat Device|APP|APP_CHEATDEV|israpps.github.io|CHEATHDD.ELF
GSM|Graphic Synthesizer Mode (GSM)|APP|APP_GSM|github.com/doctorxyz|GSM.ELF
NHDDL|NHDDL|APP|APP_NHDDL|pcm720|nhddl.elf
OSDXMB|OSD-XMB|APP|APP_OSDXMB|HiroTex|OSDXMB.ELF
PSBBNFORWARDER|PSBBN Forwarder|APP|APP_PSBBNFOR|pcm720|PSBBN-FORWARDER.ELF
SMS|Simple Media System|APP|APP_SMS|ps2homebrew|SMS.ELF
SMSVERSION29|Simple Media System|APP|APP_SMS|ps2homebrew|SMS Version 2.9 (Rev.4).elf
SIMPLEMEDIASYSTEM|Simple Media System|APP|APP_SMS|github.com/NathanNeurotic|Simple-Media-System.elf
OPL08CHILDPROOF|Open PS2 Loader (CHILDPROOF)|APP|APP_OPL|Ifcaro & jimmikaelkael|OPL 0.8- ChildPROOF.ELF
OPNPS2LD|Open PS2 Loader|APP|APP_OPL|ps2homebrew.github.io|OPNPS2LD.ELF
WLER3Z|wLaunchELF_R3Z|APP|APP_WLER3Z|R3Z3N, pcm720, El Isra|WLE-R3Z.ELF
WLAUNCHELF|wLaunchELF|APP|APP_WLE|ps2homebrew.github.io|WLAUNCHELF.ELF
WLEISR|wLaunchELF_isr|APP|APP_WLEISR|israpps.github.io|WLE-ISR.ELF
UNOFFICIALLAUNCHELFKHN|wLaunchELF KHn|APP|APP_WLEVCD|krHACKen|unofficial Launch ELF kHn (2020-08-10).elf
DOUBLEUNOFFICIALLAUNCHELF|wLaunchELF|APP|APP_WLEVCD|krHACKen|double unofficial Launch ELF
DOUBLEUNOFFICIALLAUNCHELFKHN|wLaunchELF KHn|APP|APP_WLEVCD|krHACKen|double unofficial Launch ELF kHn (2020-08-10) (packed).elf
FMCBD|Free McBoot|SYS|SYS_FMCB|Jimmikaelkael and Neme|FMCBD.ELF
FMCBINSTALLER|FreeMcBoot Installer|SYS|SYS_FMCB|github.com/israpps|FMCBInstaller.elf
FMCBCFG|FMCB Configurator|SYS|SYS_FMCBCFG|suloku|FMCB-CFG.ELF
NTPS2|NTPS2|SYS|SYS_NTPS2|ShyavanS|NTPS2.ELF
NTPS2UNC|NTPS2|SYS|SYS_NTPS2|ShyavanS|NTPS2-UNC.ELF
OSDMENU|OSDMenu|SYS|SYS_OSDMENU|pcm720|osdmenu.elf
R3CONFIGURATOR|R3CONFIGURATOR|SYS|SYS_R3CONFIG|pcm720, R3Z3N|r3configurator.elf
PS2LINKHILOAD|PS2 LINK High Loading|DBG|DBG_PS2LINK|github.com/ps2dev/|PS2LINK-HILOAD.ELF
PS2LINK|PS2LINK|DBG|DBG_PS2LINK|github.com/ps2dev/|PS2LINK.ELF
PS2LINKEXTIRX|PS2LINK External IRXs|DBG|DBG_PS2LINK|github.com/ps2dev/|PS2LINK-EXTIRX.ELF
HDDTESTER|HDD Tester|DST|DST_HDDTESTE|GrimBrew|HDDTESTER.ELF
